"_time","IP_Sessions(K)"
"2021-06-14T16:15:00.000-0400","12571.879"
"2021-06-14T16:30:00.000-0400","12572.342"
"2021-06-14T16:45:00.000-0400","12564.258"
"2021-06-14T17:00:00.000-0400","12566.387999999999"
"2021-06-14T17:15:00.000-0400","12557.737000000001"
"2021-06-14T17:30:00.000-0400","12551.320000000002"
"2021-06-14T17:45:00.000-0400","12541.015000000001"
"2021-06-14T18:00:00.000-0400","12537.603000000001"
"2021-06-14T18:15:00.000-0400","12529.568000000001"
"2021-06-14T18:30:00.000-0400","12523.165"
"2021-06-14T18:45:00.000-0400","12515.939999999999"
"2021-06-14T19:00:00.000-0400","12512.447"
"2021-06-14T19:15:00.000-0400","12503.099"
"2021-06-14T19:30:00.000-0400","12495.969"
"2021-06-14T19:45:00.000-0400","12485.36"
"2021-06-14T20:00:00.000-0400","12478.294"
"2021-06-14T20:15:00.000-0400","12466.336000000001"
"2021-06-14T20:30:00.000-0400","12454.016000000001"
"2021-06-14T20:45:00.000-0400","12437.871000000001"
"2021-06-14T21:00:00.000-0400","12420.146999999999"
"2021-06-14T21:15:00.000-0400","12401.27"
"2021-06-14T21:30:00.000-0400","12379.702000000001"
"2021-06-14T21:45:00.000-0400","12353.994"
"2021-06-14T22:00:00.000-0400","12326.789"
"2021-06-14T22:15:00.000-0400","12298.283000000001"
"2021-06-14T22:30:00.000-0400","12270.508999999998"
"2021-06-14T22:45:00.000-0400","12242.336000000001"
"2021-06-14T23:00:00.000-0400","12212.849000000002"
"2021-06-14T23:15:00.000-0400","12185.130000000001"
"2021-06-14T23:30:00.000-0400","12158.572"
"2021-06-14T23:45:00.000-0400","12131.337"
"2021-06-15T00:00:00.000-0400","12106.474"
"2021-06-15T00:15:00.000-0400","12083.696"
"2021-06-15T00:30:00.000-0400","12060.439"
"2021-06-15T00:45:00.000-0400","12037.588"
"2021-06-15T01:00:00.000-0400","12016.949999999999"
"2021-06-15T01:15:00.000-0400","11978.076"
"2021-06-15T01:30:00.000-0400","11955.837"
"2021-06-15T01:45:00.000-0400","11944.673999999999"
"2021-06-15T02:00:00.000-0400","11928.726999999999"
"2021-06-15T02:15:00.000-0400","11914.532000000001"
"2021-06-15T02:30:00.000-0400","11901.509"
"2021-06-15T02:45:00.000-0400","11889.958999999999"
"2021-06-15T03:00:00.000-0400","11880.185000000001"
"2021-06-15T03:15:00.000-0400","11871.121"
"2021-06-15T03:30:00.000-0400","11862.791000000001"
"2021-06-15T03:45:00.000-0400","11856.292999999998"
"2021-06-15T04:00:00.000-0400","11850.864000000001"
"2021-06-15T04:15:00.000-0400","11847.289"
"2021-06-15T04:30:00.000-0400","11845.615"
"2021-06-15T04:45:00.000-0400","11846.151"
"2021-06-15T05:00:00.000-0400","11849.243"
"2021-06-15T05:15:00.000-0400","11854.947"
"2021-06-15T05:30:00.000-0400","11863.774000000001"
"2021-06-15T05:45:00.000-0400","11877.081000000002"
"2021-06-15T06:00:00.000-0400","11894.883"
"2021-06-15T06:15:00.000-0400","11915.005000000001"
"2021-06-15T06:30:00.000-0400","11939.585000000001"
"2021-06-15T06:45:00.000-0400","11965.315999999999"
"2021-06-15T07:00:00.000-0400","11998.469"
"2021-06-15T07:15:00.000-0400","12029.52"
"2021-06-15T07:30:00.000-0400","12064.353"
"2021-06-15T07:45:00.000-0400","12097.286000000002"
"2021-06-15T08:00:00.000-0400","12135.65"
"2021-06-15T08:15:00.000-0400","12169.962"
"2021-06-15T08:30:00.000-0400","12204.807"
"2021-06-15T08:45:00.000-0400","12235.269"
"2021-06-15T09:00:00.000-0400","12270.702"
"2021-06-15T09:15:00.000-0400","12298.618"
"2021-06-15T09:30:00.000-0400","12327.224000000002"
"2021-06-15T09:45:00.000-0400","12349.65"
"2021-06-15T10:00:00.000-0400","12378.060000000001"
"2021-06-15T10:15:00.000-0400","12398.169"
"2021-06-15T10:30:00.000-0400","12420.098"
"2021-06-15T10:45:00.000-0400","12436.352"
"2021-06-15T11:00:00.000-0400","12457.205999999998"
"2021-06-15T11:15:00.000-0400","12470.82"
"2021-06-15T11:30:00.000-0400","12487.007"
"2021-06-15T11:45:00.000-0400","12494.161"
"2021-06-15T12:00:00.000-0400","12507.802"
"2021-06-15T12:15:00.000-0400","12511.433"
